Cno ,  Csize , CEdge , CDensity , Cluster Info
C385,3,2,0.75,"[VNN2, GM2A, SOAT1]"
C386,3,2,0.75,"[SF3A1, GM2A, FGB]"
C387,3,2,0.75,"[GTF2H2C, GALC, PTS]"
C388,3,2,0.75,"[TRIP13, SELENBP1, PLSCR4]"
C389,3,2,0.75,"[USP15, SELENBP1, FN1]"
C390,3,2,0.75,"[USP33, SELENBP1, DIO2]"
C391,3,2,0.75,"[MAS1, SELENBP1, SLC4A7]"
C392,3,2,0.75,"[TFG, SELENBP1, CFTR]"
C393,3,2,0.75,"[HEATR1, SELENBP1, CA14]"
C394,3,2,0.75,"[AGTR1, UGT8, GPAA1]"
C395,3,2,0.75,"[SEC22B, UGT8, FN1]"
C396,3,2,0.75,"[PLTP, UGT8, APOA1]"
C397,3,2,0.75,"[AURKA, CELA2B, FBN2]"
C398,3,2,0.75,"[IK, CERK, LOXL2]"
C399,3,2,0.75,"[TPCN2, CERK, OCRL]"
C400,3,2,0.75,"[FANCD2, CA14, PIGS]"
C401,3,2,0.75,"[PI4KA, CA14, FN1]"
C402,3,2,0.75,"[PEX19, CA14, SOAT1]"
C403,3,2,0.75,"[TEDC1, ENPP6, DDIT3]"
C404,3,2,0.75,"[DIAPH3, ENPP6, BCHE]"
C405,3,2,0.75,"[CNR2, DHCR24, CNR1]"
C406,3,2,0.75,"[PSEN1, DHCR24, SOAT1]"
C407,3,2,0.75,"[PDIA3, LOXL2, CFTR]"
C408,3,2,0.75,"[HDAC1, DDIT3, CAD]"
C409,3,2,0.75,"[TMEM30A, CD1E, SMPD2]"
C410,3,2,0.75,"[MIA2, CD1E, BCHE]"
C411,3,2,0.75,"[ENTPD7, CD1E, COL4A3BP]"
C412,3,2,0.75,"[TMEM237, LTF, FGB]"
C413,3,2,0.75,"[CD14, LTF, LBP]"
C414,3,2,0.75,"[CDH1, CA9, CFTR]"
C415,3,2,0.75,"[IGHG2, PLSCR4, CA8]"
C416,3,2,0.75,"[RPN2, SOAT1, SMPD2]"
C417,3,2,0.75,"[FAM189A2, SOAT1, PIGA]"
C418,3,2,0.75,"[SERPINA1, ELANE, CA8]"
C419,3,2,0.75,"[PCDHAC2, SMPD2, PIGQ]"
C420,3,2,0.75,"[CSNK2A2, SGPL1, ACACA]"
C421,3,2,0.75,"[EGFR, SGPL1, FN1]"
C422,3,2,0.75,"[CDH5, SGPL1, FGA]"
C423,3,2,0.75,"[BTN2A1, SGPL1, CD1B]"
C424,3,2,0.75,"[MAP3K7, TH, CAD]"
C425,3,2,0.75,"[PSG1, NPC2, ACACA]"
C426,3,2,0.75,"[TTR, NPC2, APOA1]"
C427,3,3,0.5,"[NUFIP2, EFEMP2, FBLN5]"
C428,3,2,0.75,"[TSPAN3, UGCG, TACR1]"
C429,3,2,0.75,"[APCS, COL4A3BP, FN1]"
C430,3,2,0.75,"[IFIT1, PC, ACACA]"
C431,3,2,0.75,"[ECI2, MCCC1, CFTR]"
C432,3,2,0.75,"[ACSM5, MCCC1, PCCA]"
C433,3,2,0.75,"[NECTIN4, PIGU, GLB1]"
C434,3,2,0.75,"[FLOT1, ABCA1, FN1]"
C435,3,2,0.75,"[SNTA1, ABCA1, NOS1]"
C436,3,2,0.75,"[PIGP, DPM2, PYCARD]"
C437,3,2,0.75,"[DNAJA2, PIGS, CFTR]"
C438,3,2,0.75,"[LNPK, TACR1, CD1B]"
C439,3,2,0.75,"[ZHX1, PIGC, DYNLL1]"
C440,3,2,0.75,"[PSMC3, TXNRD2, CFTR]"
C441,3,2,0.75,"[PTPRK, LOX, BCHE]"
C442,3,2,0.75,"[GOT1, TF, PC]"
C443,3,2,0.75,"[FAM120A, BCHE, CFTR]"
C444,3,2,0.75,"[PYGB, FGB, PYGL]"
C445,3,3,0.5,"[NID1, FGB, FGA]"
C446,3,2,0.75,"[HIST1H2BJ, HBB, FN1]"
C447,3,2,0.75,"[OXSR1, FGB, ACACA]"
C448,3,2,0.75,"[PAK2, FGB, OCRL]"
C449,3,2,0.75,"[HSD17B14, DDIT3, CA8]"
C450,3,2,0.75,"[SNX21, OCRL, SLC4A7]"
C451,3,2,0.75,"[TEX29, SLC4A7, PTS]"
C452,3,2,0.75,"[WDYHV1, PCCA, PCBD1]"
C453,3,2,0.75,"[NOSIP, NOS3, NOS1]"
C454,3,2,0.75,"[ITGB3, FGG, FN1]"
C455,3,2,0.75,"[TMEM43, APOA1, CFTR]"
C456,3,2,0.75,"[MAPK7, CAD, PTS]"
C457,3,2,0.75,"[BRD4, CAD, PYGL]"
C458,3,2,0.75,"[CUL5, PCBD1, NOS2]"
C459,3,2,0.75,"[LNX1, PCBD1, CA8]"
C460,3,2,0.75,"[STUB1, NOS1, CFTR]"
C461,3,2,0.75,"[S100A7, CA8, CFTR]"
C462,3,2,0.75,"[BDKRB1, CERS1, DRD2]"
C463,3,2,0.75,"[AKAP5, SGMS2, CENPO]"
C464,3,2,0.75,"[ABHD4, NEK4, UGT8]"
C465,3,2,0.75,"[SUFU, LOXL3, LTBP1]"
C466,3,2,0.75,"[MSI1, LOXL3, VPS26B]"
C467,3,2,0.75,"[SENP5, LOXL3, RPL23]"
C468,3,2,0.75,"[FOXB1, SMPD4, CUL2]"
C469,3,2,0.75,"[FOXI1, SMPD4, FOXH1]"
C470,3,2,0.75,"[SRFBP1, SMPD4, FOXL2]"
C471,3,2,0.75,"[NUP153, SMPD4, FOXL1]"
C472,3,2,0.75,"[NUP107, SMPD4, FOXE1]"
C473,3,2,0.75,"[FOXI2, SMPD4, FOXA3]"
C474,3,2,0.75,"[BRF2, SMPD4, TEAD2]"
C475,3,2,0.75,"[RGS10, ACP6, LIMS1]"
C476,3,2,0.75,"[SDHAF3, ACP6, NME4]"
C477,3,2,0.75,"[BOLA3, ACP6, DHX36]"
C478,3,2,0.75,"[DPP4, FAP, CAV1]"
C479,3,2,0.75,"[MSRB1, CLU, APOA1]"
C480,3,2,0.75,"[TXN, GPX1, ARHGAP11B]"
C481,3,2,0.75,"[EXOSC2, GPX1, HSCB]"
C482,3,2,0.75,"[ABL1, GPX1, TXN]"
C483,3,2,0.75,"[GSTO2, GPX4, HSCB]"
C484,3,2,0.75,"[OTUD5, GPX4, OTUB1]"
C485,3,2,0.75,"[LLGL2, ABCA7, HNRNPD]"
C486,3,2,0.75,"[C5AR2, ABCA7, SORT1]"
C487,3,2,0.75,"[TFCP2, CA1, UPF3A]"
C488,3,2,0.75,"[ANKRD13A, QDPR, CUL3]"
C489,3,2,0.75,"[DOCK3, DHCR7, TOR1A]"
C490,3,2,0.75,"[NDN, DHCR7, ACP6]"
C491,3,2,0.75,"[GLP1R, PIGG, DRD2]"
C492,3,2,0.75,"[NCR3LG1, PIGG, ATP6V0E1]"
C493,3,2,0.75,"[ADGRE5, PIGG, ESR1]"
C494,3,2,0.75,"[DDRGK1, IYD, HIST2H2BE]"
C495,3,2,0.75,"[SLC27A2, SMPD1, CASP7]"
C496,3,2,0.75,"[SEL1L, SMPD1, OS9]"
C497,3,2,0.75,"[NEDD8, TST, MRPL50]"
C498,3,2,0.75,"[CACNA2D1, CYP19A1, RC3H2]"
C499,3,2,0.75,"[NPLOC4, CYP19A1, CD109]"
C500,3,2,0.75,"[ATP6V0A1, SMPD3, TMEM135]"
C501,3,2,0.75,"[ENDOD1, SMPD3, PPP3R1]"
C502,3,2,0.75,"[PPP3CA, SMPD3, RACK1]"
C503,3,2,0.75,"[ASPSCR1, GLTP, AMD1]"
C504,3,2,0.75,"[PRR14, CELA1, DISC1]"
C505,3,2,0.75,"[ZNF318, CELA1, CCT2]"
C506,3,2,0.75,"[BCOR, CELA1, CEP164]"
C507,3,2,0.75,"[HDAC3, CELA1, KRBA1]"
C508,3,2,0.75,"[GLI3, CELA1, SIPA1L2]"
C509,3,2,0.75,"[SMYD2, CELA1, EIF4E2]"
C510,3,2,0.75,"[RHEB, ENPP7, TTC17]"
C511,3,2,0.75,"[ERGIC2, ENPP7, CD109]"
C512,3,2,0.75,"[TUBB3, ENPP7, EPDR1]"
C513,3,2,0.75,"[CAMKK2, GCHFR, HBS1L]"
C514,3,2,0.75,"[FXYD1, GCHFR, NEBL]"
C515,3,2,0.75,"[SPINK2, GCHFR, PUSL1]"
C516,3,2,0.75,"[DOCK11, GCHFR, IRF2BP2]"
C517,3,2,0.75,"[CNTNAP3, CELA3A, PCSK5]"
C518,3,2,0.75,"[PPP2R5D, CELA3A, POTEF]"
C519,3,2,0.75,"[TUBB8, CELA3A, PPIP5K2]"
C520,3,2,0.75,"[YEATS4, TPH1, MCM10]"
C521,3,2,0.75,"[RFWD3, TPH1, CFL1]"
C522,3,2,0.75,"[MBOAT7, STS, JAG2]"
C523,3,2,0.75,"[GJA1, STS, TBC1D22B]"
C524,3,2,0.75,"[CISD2, STS, CKAP4]"
C525,3,2,0.75,"[LRRC8A, STS, TMEM214]"
C526,3,2,0.75,"[RETREG2, STS, ATP11C]"
C527,3,2,0.75,"[SUMF1, STS, ABCB8]"
C528,3,2,0.75,"[LYZL1, STS, SLC30A1]"
C529,3,2,0.75,"[FUT8, STS, ZDHHC6]"
C530,3,2,0.75,"[IMP3, GBA, HSPD1]"
C531,3,2,0.75,"[B4GALT7, GBA, FGD6]"
C532,3,2,0.75,"[FMR1, GBA, ZMYND11]"
C533,3,2,0.75,"[ZCCHC8, GBA, RNF20]"
C534,3,2,0.75,"[JPH1, GBA, PATJ]"
C535,3,2,0.75,"[SCAMP3, GBA, CANX]"
C536,3,2,0.75,"[ATP5PF, GBA, TOP3B]"
C537,3,2,0.75,"[RPS6KA3, GBA, ZFP91]"
C538,3,2,0.75,"[RAB27B, GBA, HSP90B1]"
C539,3,2,0.75,"[TMEM63A, PIGN, GPR21]"
C540,3,2,0.75,"[TXNDC15, PIGN, SPPL2B]"
C541,3,2,0.75,"[RBPJ, SEPSECS, MTMR2]"
C542,3,2,0.75,"[CPPED1, SEPSECS, COP1]"
C543,3,2,0.75,"[ABLIM1, SEPSECS, LZTFL1]"
C544,3,2,0.75,"[WDR12, SEPHS1, PUM1]"
C545,3,2,0.75,"[ZBTB25, SEPHS1, HLX]"
C546,3,2,0.75,"[QRICH1, SEPHS1, CUL3]"
C547,3,2,0.75,"[CDKN2AIPNL, PLEKHA8, FAN1]"
C548,3,2,0.75,"[CDKN2A, PLEKHA8, PLEKHA8P1]"
C549,3,2,0.75,"[GGT7, PIGB, WTAP]"
C550,3,2,0.75,"[PAPSS2, TXNRD1, TUBB]"
C551,3,2,0.75,"[NAE1, TXNRD1, UBXN1]"
C552,3,2,0.75,"[POU2F2, TXNRD1, APEX1]"
C553,3,2,0.75,"[TRIM25, TXNRD1, CDO1]"
C554,3,2,0.75,"[RP2, TXNRD1, TXNRD2]"
C555,3,2,0.75,"[SRP68, GBA2, MRPL44]"
C556,3,2,0.75,"[PPFIA1, GBA2, BAG5]"
C557,3,2,0.75,"[ILVBL, GBA2, LAMTOR5]"
C558,3,2,0.75,"[PSME1, GPX7, HSPA14]"
C559,3,2,0.75,"[ASNA1, GPX7, NFS1]"
C560,3,2,0.75,"[UTP6, GPX7, ZC3HC1]"
C561,3,2,0.75,"[GAK, GPX7, SH3GL1]"
C562,3,2,0.75,"[PLPBP, GPX7, LYRM4]"
C563,3,2,0.75,"[THYN1, GPX7, THNSL1]"
C564,3,2,0.75,"[EIF2AK2, GPX7, C1orf52]"
C565,3,2,0.75,"[SNX1, GPX7, ZG16B]"
C566,3,2,0.75,"[ZC3HAV1L, GPX7, CHMP1A]"
C567,3,2,0.75,"[HTR2C, CERS5, P2RY12]"
C568,3,2,0.75,"[LAMP2, ALDH6A1, POLG2]"
C569,3,2,0.75,"[ALDH8A1, ALDH6A1, ALDH2]"
C570,3,2,0.75,"[ATP1B3, PIGO, HTR3A]"
C571,3,2,0.75,"[TM2D2, PIGM, CHRM4]"
C572,3,2,0.75,"[CNDP1, PIGM, LTB4R2]"
C573,3,2,0.75,"[WLS, PIGW, SLC22A9]"
C574,3,2,0.75,"[SLC2A12, PIGW, SLC7A1]"
C575,3,2,0.75,"[SLC39A4, PIGW, SPPL2B]"
C576,3,2,0.75,"[LYPD1, ASAH1, RNF6]"
C577,3,2,0.75,"[NSG2, ASAH1, SLCO6A1]"
C578,3,2,0.75,"[ZSCAN12, ASAH1, FTH1]"
C579,3,2,0.75,"[TRMT2A, ASAH1, HTATIP2]"
C580,3,2,0.75,"[GLT1D1, ASAH1, PNKD]"
C581,3,2,0.75,"[CYP1A2, ASAH1, GSG1]"
C582,3,2,0.75,"[AAMP, ASAH1, AAGAB]"
C583,3,2,0.75,"[HEXA, GM2A, CFAP298]"
C584,3,2,0.75,"[POC5, GM2A, CCDC51]"
C585,3,2,0.75,"[SSBP4, GM2A, KIR3DS1]"
C586,3,2,0.75,"[CCL22, SEPHS2, LOXL4]"
C587,3,2,0.75,"[ENDOV, SEPHS2, NEK4]"
C588,3,2,0.75,"[IKZF1, GALC, TRMT11]"
C589,3,2,0.75,"[CST7, GALC, ESS2]"
C590,3,2,0.75,"[TMEM51, GALC, OTUD6B]"
C591,3,2,0.75,"[NCOA5, GALC, EEF2KMT]"
C592,3,2,0.75,"[CLEC11A, GALC, HIST1H1C]"
C593,3,2,0.75,"[FCF1, SULT2B1, SULT1A1]"
C594,3,2,0.75,"[AR, SELENBP1, RASGRP4]"
C595,3,2,0.75,"[ARL11, SELENBP1, CPLX3]"
C596,3,2,0.75,"[CAMKMT, SELENBP1, MED31]"
C597,3,2,0.75,"[FBXL4, SELENBP1, RAB11FIP4]"
C598,3,2,0.75,"[HOOK1, SELENBP1, LACC1]"
C599,3,2,0.75,"[SETDB2, SELENBP1, SMARCD1]"
C600,3,2,0.75,"[MMACHC, SELENBP1, KIF3A]"
C601,3,2,0.75,"[FLYWCH2, SELENBP1, RAB11B]"
C602,3,2,0.75,"[TBC1D14, SELENBP1, OAZ3]"
C603,3,2,0.75,"[OFCC1, SELENBP1, IL31RA]"
C604,3,2,0.75,"[GDF5, SELENBP1, FOXP2]"
C605,3,2,0.75,"[GPBP1, SELENBP1, DOLPP1]"
C606,3,2,0.75,"[B3GALNT1, SELENBP1, SGO2]"
C607,3,2,0.75,"[CSGALNACT2, UGT8, H1F0]"
C608,3,2,0.75,"[B4GAT1, UGT8, UPK1A]"
C609,3,2,0.75,"[TRDN, UGT8, ADPGK]"
C610,3,2,0.75,"[PTCH1, UGT8, HSD11B1]"
C611,3,2,0.75,"[HMOX2, UGT8, HMOX1]"
C612,3,2,0.75,"[PON2, UGT8, LMAN2L]"
C613,3,2,0.75,"[RAD50, CELA2B, ATXN2]"
C614,3,2,0.75,"[MRM2, CELA2B, RPUSD2]"
C615,3,2,0.75,"[MRE11, CELA2B, C16orf70]"
C616,3,2,0.75,"[NR3C1, CERK, PRRC2B]"
C617,3,2,0.75,"[UTP4, CERK, TAF13]"
C618,3,2,0.75,"[GEMIN2, CERK, UBL4A]"
C619,3,2,0.75,"[USP1, CERK, RBM26]"
C620,3,2,0.75,"[WDR43, CERK, EIF4ENIF1]"
C621,3,2,0.75,"[NOP16, CERK, APOL2]"
C622,3,2,0.75,"[BUB1B, CERK, RPS14]"
C623,3,2,0.75,"[DDX23, CERK, CCDC174]"
C624,3,2,0.75,"[SPG7, CERK, TBC1D22A]"
C625,3,2,0.75,"[RAD18, CERK, HLTF]"
C626,3,2,0.75,"[CELF1, CERK, ALDH18A1]"
C627,3,2,0.75,"[GMNN, CERK, IL20RA]"
C628,3,2,0.75,"[TNFRSF9, CERK, KCTD17]"
C629,3,2,0.75,"[CCNDBP1, CERK, ILKAP]"
C630,3,2,0.75,"[DNAJC11, SUOX, FHOD1]"
C631,3,2,0.75,"[CES3, SUOX, SPANXN3]"
C632,3,2,0.75,"[COG8, CA14, MON2]"
C633,3,2,0.75,"[NUP160, CA14, EXOC8]"
C634,3,2,0.75,"[TNPO2, CA14, MTOR]"
C635,3,2,0.75,"[EVA1B, CA14, SLC38A7]"
C636,3,2,0.75,"[EIF2B5, CA14, EXOC6B]"
C637,3,2,0.75,"[COG4, CA14, NCAPH2]"
C638,3,2,0.75,"[EIF2B2, CA14, NF1]"
C639,3,2,0.75,"[SAAL1, CA14, EXOC5]"
C640,3,2,0.75,"[SLC22A18, CA14, THADA]"
C641,3,2,0.75,"[CIP2A, CA14, ATR]"
C642,3,2,0.75,"[COG7, CA14, KIF14]"
C643,3,2,0.75,"[EXOC7, CA14, RANBP6]"
C644,3,2,0.75,"[EIF2B1, CA14, EIF2B3]"
C645,3,2,0.75,"[XPO4, CA14, COG2]"
C646,3,2,0.75,"[EIF2B4, CA14, XPO6]"
C647,3,2,0.75,"[NDUFA7, ENPP6, EMC3]"
C648,3,2,0.75,"[GLB1L2, ENPP6, PTPN1]"
C649,3,2,0.75,"[AGTRAP, ENPP6, NUP85]"
C650,3,2,0.75,"[VAMP3, ENPP6, MEX3B]"
C651,3,2,0.75,"[STEAP3, ENPP6, GLMN]"
C652,3,2,0.75,"[RUNDC1, ENPP6, MKS1]"
C653,3,2,0.75,"[GNPAT, ENPP6, NDUFB3]"
C654,3,2,0.75,"[STX7, ENPP6, SACS]"
C655,3,2,0.75,"[NDUFB9, ENPP6, SCAMP1]"
C656,3,2,0.75,"[ZBTB33, ENPP6, CRLF3]"
C657,3,2,0.75,"[SLC26A6, ENPP6, NDUFB4]"
C658,3,2,0.75,"[CCR4, DHCR24, REEP5]"
C659,3,2,0.75,"[CAV2, DHCR24, NDUFAF4]"
C660,3,2,0.75,"[ATP6V0D1, DHCR24, FUNDC2]"
C661,3,2,0.75,"[LUZP1, DHCR24, ERAP1]"
C662,3,2,0.75,"[USE1, MGLL, SPATA46]"
C663,3,2,0.75,"[HPCAL1, MGLL, HTR4]"
C664,3,2,0.75,"[MTA2, LOXL2, RBBP7]"
C665,3,2,0.75,"[SIN3A, LOXL2, EZH2]"
C666,3,2,0.75,"[MARCKSL1, LOXL2, LYZL2]"
C667,3,2,0.75,"[WNT7A, LOXL2, PSG8]"
C668,3,2,0.75,"[IDS, LOXL2, TINAGL1]"
C669,3,2,0.75,"[ADAMTS4, LOXL2, IL12RB1]"
C670,3,2,0.75,"[KLK11, LOXL2, KLK5]"
C671,3,2,0.75,"[TAZ, LOXL2, MTA1]"
C672,3,2,0.75,"[EDNRA, EDN1, COPS6]"
C673,3,2,0.75,"[TMEM59L, CD1E, ABHD14A]"
C674,3,2,0.75,"[ITGA7, CD1E, BACE2]"
C675,3,2,0.75,"[FNDC3A, CD1E, POMT1]"
C676,3,2,0.75,"[STIM1, CD1E, DPAGT1]"
C677,3,2,0.75,"[SEMA4F, CD1E, MAN2A2]"
C678,3,2,0.75,"[C1QL1, CD1E, PLXNA2]"
C679,3,2,0.75,"[SUSD5, CD1E, TMEM67]"
C680,3,2,0.75,"[RGS1, ACACB, HLCS]"
C681,3,2,0.75,"[AEBP2, LTF, METTL14]"
C682,3,2,0.75,"[MAPK15, LTF, ARHGAP11A]"
C683,3,2,0.75,"[GSK3A, LTF, PRAP1]"
C684,3,2,0.75,"[EPPIN, LTF, POLL]"
C685,3,2,0.75,"[SGK1, LTF, MUC7]"
C686,3,2,0.75,"[HBM, LTF, ZNF250]"
C687,3,2,0.75,"[DDX31, LTF, SIRPG]"
C688,3,2,0.75,"[CCDC148, LTF, FN3KRP]"
C689,3,2,0.75,"[ICE2, LTF, LYZ]"
C690,3,2,0.75,"[NLGN3, CYP11A1, FDX1]"
C691,3,2,0.75,"[SERPINB1, PRTN3, ITGAM]"
C692,3,2,0.75,"[ITGA2, CA9, MMP14]"
C693,3,2,0.75,"[CTNNA1, CA9, CTNNB1]"
C694,3,2,0.75,"[KRTAP4-12, PLSCR4, DPH1]"
C695,3,2,0.75,"[KRTAP6-1, PLSCR4, MRGBP]"
C696,3,2,0.75,"[ZDHHC17, PLSCR4, ALG13]"
C697,3,2,0.75,"[PLIN5, LIPE, STAR]"
C698,3,2,0.75,"[FABP9, LIPE, FABP4]"
C699,3,2,0.75,"[PLIN1, LIPE, CAVIN1]"
C700,3,2,0.75,"[PDLIM7, SOAT1, RAB2A]"
C701,3,2,0.75,"[KATNA1, SOAT1, TMEM63B]"
C702,3,2,0.75,"[PCDHB15, SOAT1, UQCRC1]"
C703,3,2,0.75,"[NDUFS1, SOAT1, TERF1]"
C704,3,2,0.75,"[UBIAD1, SOAT1, RTN4R]"
C705,3,2,0.75,"[CARNMT1, SOAT1, ADAM33]"
C706,3,2,0.75,"[ILF2, SOAT1, TMPRSS12]"
C707,3,2,0.75,"[FAM187B, SOAT1, TSPAN5]"
C708,3,2,0.75,"[ASGR2, SOAT1, LYPD6]"
C709,3,2,0.75,"[RNF11, SOAT1, SMPD3]"
C710,3,2,0.75,"[RSPRY1, AGK, RIPK4]"
C711,3,2,0.75,"[PRKN, AGK, AP3S1]"
C712,3,2,0.75,"[TIMM10, AGK, RAB18]"
C713,3,2,0.75,"[HCCS, AGK, TIMM10B]"
C714,3,2,0.75,"[TIMM29, AGK, BAD]"
C715,3,2,0.75,"[SERPINA3, ELANE, NOTCH2NLA]"
C716,3,2,0.75,"[SLPI, ELANE, OCRL]"
C717,3,2,0.75,"[KCNC4, SMPD2, TEX28]"
C718,3,2,0.75,"[LRRC32, SMPD2, PCDHGA5]"
C719,3,2,0.75,"[PCDHB16, SMPD2, ANAPC10]"
C720,3,2,0.75,"[TMED6, SMPD2, PLVAP]"
C721,3,2,0.75,"[FNTB, SMPD2, MTHFR]"
C722,3,2,0.75,"[PEBP1, SGPL1, PPP6R1]"
C723,3,2,0.75,"[MORF4L1, SGPL1, PDCD11]"
C724,3,2,0.75,"[PTK6, SGPL1, IQCB1]"
C725,3,2,0.75,"[ANKRD12, SGPL1, TMEM173]"
C726,3,2,0.75,"[TRIM9, SGPL1, TMEM206]"
C727,3,2,0.75,"[MED21, SGPL1, CACNG5]"
C728,3,2,0.75,"[IL13RA2, SGPL1, ESR1]"
C729,3,2,0.75,"[P2RX1, SGPL1, ISLR]"
C730,3,2,0.75,"[TRARG1, SGPL1, VSIG4]"
C731,3,2,0.75,"[MAPK1, TH, KDM3B]"
C732,3,2,0.75,"[RELL1, TH, MTFR2]"
C733,3,2,0.75,"[TAOK2, TH, ZBTB34]"
C734,3,2,0.75,"[NFIC, TH, DNAJC12]"
C735,3,2,0.75,"[NCOA1, RORA, NR0B1]"
C736,3,2,0.75,"[NCOA2, RORA, MED1]"
C737,3,2,0.75,"[MYOD1, RORA, NME1]"
C738,3,2,0.75,"[BARD1, NPC2, NEGR1]"
C739,3,2,0.75,"[IRGQ, NPC2, TMPRSS11B]"
C740,3,2,0.75,"[CFB, NPC2, HK3]"
C741,3,2,0.75,"[RRAGA, NPC2, LDB3]"
C742,3,2,0.75,"[NPC1, NPC2, DHDDS]"
C743,3,2,0.75,"[BMP2, HJV, NEO1]"
C744,3,2,0.75,"[COL8A1, EFEMP2, APEX2]"
C745,3,2,0.75,"[CREB5, EFEMP2, RIBC2]"
C746,3,2,0.75,"[AQP1, EFEMP2, PIDD1]"
C747,3,2,0.75,"[ATXN1, EFEMP2, CCNK]"
C748,3,2,0.75,"[ZNF263, EFEMP2, GLRX3]"
C749,3,2,0.75,"[FAM107A, EFEMP2, CATSPER1]"
C750,3,2,0.75,"[AMMECR1, EFEMP2, RHPN1]"
C751,3,2,0.75,"[PRPF31, EFEMP2, ZNF426]"
C752,3,2,0.75,"[FAM124B, EFEMP2, LINGO1]"
C753,3,2,0.75,"[TCAF1, EFEMP2, CCND3]"
C754,3,2,0.75,"[HHEX, EFEMP2, STK16]"
C755,3,2,0.75,"[UBQLN1, EFEMP2, IL16]"
C756,3,2,0.75,"[RHOXF2, EFEMP2, TP53]"
C757,3,2,0.75,"[PICK1, UGCG, TMEM231]"
C758,3,2,0.75,"[SLC20A1, UGCG, TNFRSF10A]"
C759,3,2,0.75,"[TNFRSF10B, UGCG, RTN1]"
C760,3,2,0.75,"[PPP2R5C, COL4A3BP, NEK4]"
C761,3,2,0.75,"[PACSIN2, COL4A3BP, FTL]"
C762,3,2,0.75,"[ACTL8, COL4A3BP, RTN3]"
C763,3,2,0.75,"[POM121, COL4A3BP, RTN4]"
C764,3,2,0.75,"[ARL6IP1, COL4A3BP, EYA1]"
C765,3,2,0.75,"[RUFY1, COL4A3BP, MARK1]"
C766,3,2,0.75,"[MARK3, COL4A3BP, TRAF7]"
C767,3,2,0.75,"[EXOSC3, COL4A3BP, MARK2]"
C768,3,2,0.75,"[ITGB3BP, COL4A3BP, CSNK1G2]"
C769,3,2,0.75,"[PRG2, FBN2, LTBP1]"
C770,3,2,0.75,"[LYPD4, FBN2, ELN]"
C771,3,2,0.75,"[ADAMTSL1, FBN2, TAFA3]"
C772,3,2,0.75,"[PRG3, FBN2, FOXD4L6]"
C773,3,2,0.75,"[MATN2, FBN2, MFAP5]"
C774,3,2,0.75,"[IREB2, MCCC1, CHCHD10]"
C775,3,2,0.75,"[SOS2, MCCC1, FECH]"
C776,3,2,0.75,"[TUFM, MCCC1, NPB]"
C777,3,2,0.75,"[SUCLA2, MCCC1, METTL2A]"
C778,3,2,0.75,"[FOXRED1, MCCC1, TMEM70]"
C779,3,2,0.75,"[OXCT2, MCCC1, GCAT]"
C780,3,2,0.75,"[ECSIT, MCCC2, CYB5B]"
C781,3,2,0.75,"[UBASH3B, MCCC2, RECK]"
C782,3,2,0.75,"[AGR2, MCCC2, OTUB1]"
C783,3,2,0.75,"[CLEC5A, PIGU, F2RL1]"
C784,3,2,0.75,"[PRDX4, LBP, APOA1]"
C785,3,2,0.75,"[LRRK2, CA2, ARHGAP26]"
C786,3,2,0.75,"[USP42, CA2, SLC9A1]"
C787,3,2,0.75,"[IMMP1L, ABCA1, ABCA12]"
C788,3,2,0.75,"[COPS2, ABCA1, ARHGEF11]"
C789,3,2,0.75,"[DLG3, ABCA1, LIN7B]"
C790,3,2,0.75,"[DLG2, ABCA1, ARHGEF12]"
C791,3,2,0.75,"[STX12, ABCA1, CDC42]"
C792,3,2,0.75,"[XPC, ABCA1, FADD]"
C793,3,2,0.75,"[UTRN, ABCA1, NR1H2]"
C794,3,2,0.75,"[SNTB1, ABCA1, SNTB2]"
C795,3,2,0.75,"[ATP5MD, PIGS, HSCB]"
C796,3,2,0.75,"[YIPF5, PIGS, PPM1A]"
C797,3,2,0.75,"[DNAJC8, PIGS, MYH6]"
C798,3,2,0.75,"[MICALL2, PIGS, SF3A2]"
C799,3,2,0.75,"[CNTROB, PIGS, FBXO6]"
C800,3,2,0.75,"[EPB41L2, NSMAF, PFDN2]"
C801,3,2,0.75,"[FBXL19, NSMAF, DOCK8]"
C802,3,2,0.75,"[MAP1LC3A, NSMAF, CCT7]"
C803,3,2,0.75,"[XIRP2, NSMAF, KBTBD7]"
C804,3,2,0.75,"[MAP1LC3B, NSMAF, SELENBP1]"
C805,3,2,0.75,"[TCHH, NSMAF, PREP]"
C806,3,2,0.75,"[DSG4, NSMAF, HEPHL1]"
C807,3,2,0.75,"[CALHM4, NSMAF, LYG2]"
C808,3,2,0.75,"[DUSP14, NSMAF, HEXIM1]"
C809,3,2,0.75,"[GABARAPL1, NSMAF, CCT2]"
C810,3,2,0.75,"[ATP8, TACR1, ATP5PD]"
C811,3,2,0.75,"[GPR50, TACR1, LPCAT3]"
C812,3,2,0.75,"[NDUFC2, TACR1, SLC25A46]"
C813,3,2,0.75,"[RGPD1, TACR1, GPR89A]"
C814,3,2,0.75,"[ATP5PB, TACR1, TSPAN15]"
C815,3,2,0.75,"[RDH14, TACR1, CAV1]"
C816,3,2,0.75,"[COX1, TACR1, ARL6IP5]"
C817,3,2,0.75,"[SYNGR2, TACR1, KIRREL1]"
C818,3,2,0.75,"[CERS2, TACR1, SLMAP]"
