Cno ,  Csize , CEdge , CDensity , Cluster Info
C74,5,6,0.83,"[YWHAH, SLC4A7, FN1, LGALS9, LGALS8]"
C75,5,6,0.83,"[CDC37, NOS3, CFTR, CAV1, ACTB]"
C76,5,7,0.71,"[C1QA, APOA1, FN1, KRT1, C1QBP]"
C77,5,6,0.83,"[HP, APOA1, HBB, HBA1, GDPD1]"
C78,5,6,0.83,"[PRKCZ, CAD, DYNLL1, MAD2L1, HTT]"
C79,5,6,0.83,"[TSHR, PC, FN1, DISC1, RAB7A]"
C80,5,6,0.83,"[KIF5B, ACACA, CFTR, PRKAA1, CCT3]"
C81,5,6,0.83,"[LRRFIP2, PYGL, CFTR, USP19, EZR]"
C82,5,6,0.83,"[AHCY, PYGL, CFTR, USP19, EZR]"
C83,5,6,0.83,"[SLC9A3R1, NOS2, CFTR, CALM1, S100A9]"
C84,5,6,0.83,"[PPP2R2B, CFTR, DYNLL1, HDAC6, DDX3X]"
C85,5,6,0.83,"[PSMD11, CFTR, FN1, SNAP23, QARS]"
C86,5,6,0.83,"[PSMB3, CFTR, FN1, TUBB6, MYH9]"
C87,5,6,0.83,"[ESYT1, CFTR, FN1, ALDOA, PHB]"
C88,5,6,0.83,"[BAG2, CFTR, FN1, LDHA, RPL36]"
C89,5,6,0.83,"[PSMB1, CFTR, FN1, XRCC5, RPS15]"
C90,5,6,0.83,"[PRKAR2A, CFTR, DYNLL1, DSP, LGALS3BP]"
C91,5,6,0.83,"[LPAR2, CFTR, HBB, HSPA8, YWHAQ]"
C92,5,6,0.83,"[YBX1, CFTR, FN1, ESYT2, RPL28]"
C93,5,6,0.83,"[SKP1, CFTR, DYNLL1, DYNC1H1, PPP2R1A]"
C94,5,6,0.83,"[CORO1B, CFTR, FN1, FLOT2, HSPA1A]"
C95,5,6,0.83,"[NPM1, CFTR, FN1, IGF2BP3, PHGDH]"
C96,5,6,0.83,"[EEF2, CFTR, FN1, COPE, SSBP1]"
C97,5,6,0.83,"[SRP14, CFTR, FN1, RNH1, STIP1]"
C98,5,6,0.83,"[HNRNPF, CFTR, FN1, ERLIN2, DAB2]"
C99,5,6,0.83,"[ATP5F1A, CFTR, FN1, ACTN4, RPL24]"
C100,5,6,0.83,"[MYL6, CFTR, FN1, PSMA6, CAPZB]"
C101,5,6,0.83,"[PFKL, CFTR, FN1, CORO1C, RPL14]"
C102,5,6,0.83,"[CAPZA1, CFTR, FN1, PXN, RPL10A]"
C103,5,6,0.83,"[LGALS1, CFTR, FN1, EIF3K, RPL7]"
C104,5,6,0.83,"[LDHB, CFTR, FN1, FSCN1, VCL]"
C105,5,6,0.83,"[HNRNPK, CFTR, FN1, RPL21, XRCC6]"
C106,5,6,0.83,"[AIMP2, CFTR, FN1, FLNB, CPNE1]"
C107,5,6,0.83,"[ACLY, CFTR, FN1, PTGES3, PKM]"
C108,5,6,0.83,"[MYH10, CFTR, FN1, YWHAE, RPL8]"
C109,5,6,0.83,"[RPL29, CFTR, FN1, CAP1, TPM3]"
C110,5,6,0.83,"[ARPC4, CFTR, FN1, GSN, RPS10]"
C111,5,6,0.83,"[RPL15, CFTR, FN1, TKT, RALY]"
C112,5,6,0.83,"[ACTR3, CFTR, FN1, YES1, LGALS3]"
C113,5,6,0.83,"[AHSA1, CFTR, GCH1, YWHAZ, RPS12]"
C114,5,6,0.83,"[PABPC1, HBB, DYNLL1, MAPK6, HSPA8]"
C115,5,6,0.83,"[CBX3, DYNLL1, FN1, KANK2, RAE1]"
C116,5,6,0.83,"[CD44, DYNLL1, FN1, WTAP, KANK2]"
C117,4,5,0.6,"[PLSCR4, PLSCR1, HOXA1, EFEMP2]"
C118,4,5,0.6,"[NOS1, DLG4, DLG2, DYNLL1]"
C119,4,5,0.6,"[LOXL2, RBBP4, HDAC1, FN1]"
C120,4,4,0.75,"[MCCC2, OTUB1, HDAC11, CAD]"
C121,4,4,0.75,"[FBN1, FBXO2, LTBP1, BCHE]"
C122,4,4,0.75,"[ELANE, THBS1, SERPINF2, PLG]"
C123,4,4,0.75,"[MGLL, HTR4, LTB4R2, CERS1]"
C124,4,4,0.75,"[C1QBP, ACP6, MCCC2, ECH1]"
C125,4,4,0.75,"[RAB7A, SOAT1, ABCG2, GOLT1B]"
C126,4,4,0.75,"[RPN1, SOAT1, PIGU, YIPF3]"
C127,4,4,0.75,"[CLINT1, LOXL3, CFTR, HSPA5]"
C128,4,4,0.75,"[PRDX6, GPX4, CFTR, PPIB]"
C129,4,4,0.75,"[CDK15, SULT2B1, LTF, DDX19B]"
C130,4,4,0.75,"[DEFA1, LOXL2, NPC2, LRP1]"
C131,4,4,0.75,"[PRKAA1, ACACB, ACACA, STK25]"
C132,4,4,0.75,"[VAPA, SOAT1, GLB1, HSCB]"
C133,4,4,0.75,"[PSMC5, RORA, PTGS2, EP300]"
C134,4,5,0.6,"[STK4, MCCC1, MCCC2, ECH1]"
C135,4,4,0.75,"[SPTLC1, ABCA1, CFTR, CANX]"
C136,4,5,0.6,"[GDPD1, TF, APOA1, SNX27]"
C137,4,4,0.75,"[GRB2, OCRL, CAD, RAB5A]"
C138,4,4,0.75,"[LMNA, SMPD4, CFTR, KPNB1]"
C139,4,4,0.75,"[GABRA3, ABCA7, GPAA1, HTR3A]"
C140,4,4,0.75,"[CNTNAP3B, SMPD1, CD1B, CANX]"
C141,4,4,0.75,"[INSL5, SMPD1, LOXL2, OS9]"
C142,4,4,0.75,"[USP54, CELA1, PIGT, HELZ]"
C143,4,4,0.75,"[GOLGA5, STS, TACR1, LMBR1]"
C144,4,4,0.75,"[VIPR2, PIGN, CERS5, FPR2]"
C145,4,4,0.75,"[MPPE1, PIGB, UGT8, FUT1]"
C146,4,4,0.75,"[PLEKHJ1, GPX7, OCRL, PHETA1]"
C147,4,4,0.75,"[NCEH1, UGT8, CD1E, LMAN2L]"
C148,4,4,0.75,"[SCGB2A2, UGT8, LOXL2, FBXO6]"
C149,4,4,0.75,"[IMPAD1, ENPP6, CD1B, USP22]"
